mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	0
2	1	1	1	1.0	0	0	3/4	2	1	1/4	1/4	1		3	45	A2	2	5
2	1	1	1	0.75	0	0	3/4	1	1	3/16	1/8	3/2		1	67	G4	4	1
2	1	1	1	0.75	0	0	3/4	1	1	3/16	1/8	3/2		7	73	C#5	5	1
2	1	7/4	7/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		1	79	G5	5	2
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	6
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	6
2	1	2	2	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	3
2	1	2	2	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	3
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	7
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	7
2	1	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	4
2	1	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	4
3	2	4	4	1.0	0	0	3/4	2	1	1/4	1/4	1		10	46	A#2	2	15
3	2	4	4	3.0	0	0	3/4	1	2	3/4	1/2	3/2		1	67	G4	4	14
3	2	4	4	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	8
3	2	9/2	9/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	9
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		10	58	A#3	3	16
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	16
3	2	5	5	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78	F#5	5	10
3	2	11/2	11/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	11
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		10	58	A#3	3	17
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	17
3	2	6	6	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	12
3	2	13/2	13/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		7	73	C#5	5	13
4	3	7	7	1.0	0	0	3/4	2	1	1/4	1/4	1		5	47	B2	2	22
4	3	7	7	0.75	0	0	3/4	1	2	3/16	1/8	3/2		6	66	F#4	4	18
4	3	7	7	0.75	0	0	3/4	1	2	3/16	1/8	3/2		2	74	D5	5	18
4	3	31/4	31/4	0.25	3/16	3/16	3/4	1	2	1/16	1/16	1		6	78	F#5	5	19
4	3	8	8	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	23
4	3	8	8	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	23
4	3	8	8	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		6	66	F#4	4	20
4	3	8	8	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		2	74	D5	5	20
4	3	9	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	24
4	3	9	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	24
4	3	9	9	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	21
4	3	9	9	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	74	D5	5	21
5	4	10	10	1.0	0	0	3/4	2	1	1/4	1/4	1		6	42	F#2	2	29
5	4	10	10	0.75	0	0	3/4	1	2	3/16	1/8	3/2		3	69	A4	4	25
5	4	43/4	43/4	0.25	3/16	3/16	3/4	1	2	1/16	1/16	1		2	74	D5	5	26
5	4	11	11	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54	F#3	3	30
5	4	11	11	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	30
5	4	11	11	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69	A4	4	27
5	4	12	12	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54	F#3	3	31
5	4	12	12	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	31
5	4	12	12	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		3	69	A4	4	28
6	5	13	13	1.0	0	0	3/4	2	1	1/4	1/4	1		1	43	G2	2	39
6	5	13	13	1.0	0	0	3/4	1	2	1/4	1/4	1		3	69	A4	4	36
6	5	13	13	0.75	0	0	3/4	1	1	3/16	1/8	3/2		5	71	B4	4	32
6	5	55/4	55/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		6	78	F#5	5	33
6	5	14	14	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	40
6	5	14	14	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	40
6	5	14	14	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69	A4	4	37
6	5	14	14	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	34
6	5	15	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	41
6	5	15	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	41
6	5	15	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		9	63	D#4	4	41
6	5	15	15	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		3	69	A4	4	38
6	5	15	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	35
7	6	16	16	1.0	0	0	3/4	2	1	1/4	1/4	1		1	43	G2	2	53
7	6	16	16	1.0	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	48
7	6	16	16	0.75	0	0	3/4	1	1	3/16	1/8	3/2		5	71	B4	4	42
7	6	67/4	67/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		4	76	E5	5	43
7	6	17	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	54
7	6	17	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	54
7	6	17	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	54
7	6	17	17	0.5	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	G4	4	49
7	6	17	17	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71	B4	4	44
7	6	35/2	35/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		6	66	F#4	4	50
7	6	35/2	35/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	45
7	6	18	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	55
7	6	18	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	55
7	6	18	18	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1		4	64	E4	4	51
7	6	18	18	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		1	67	G4	4	46
7	6	37/2	37/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		2	62	D4	4	52
7	6	37/2	37/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	47
8	7	19	19	1.0	0	0	3/4	2	1	1/4	1/4	1		3	45	A2	2	62
8	7	19	19	0.5	0	0	3/4	1	1	1/8	1/8	1		7	61	C#4	4	56
8	7	19	19	0.5	0	0	3/4	1	1	1/8	1/8	1		4	64	E4	4	56
8	7	39/2	39/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		2	62	D4	4	57
8	7	39/2	39/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	57
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	63
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		7	61	C#4	4	63
8	7	20	20	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		4	64	E4	4	58
8	7	20	20	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	67	G4	4	58
8	7	41/2	41/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	59
8	7	41/2	41/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	59
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	64
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	C#4	4	64
8	7	21	21	0.75	1/2	1/2	3/4	1	1	3/16	1/8	3/2		1	67	G4	4	60
8	7	21	21	0.75	1/2	1/2	3/4	1	1	3/16	1/8	3/2		5	71	B4	4	60
8	7	87/4	87/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		6	66	F#4	4	61
8	7	87/4	87/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		3	69	A4	4	61
9	8	22	22	2.0	0	0	3/4	2	1	1/2	1/2	1		2	50	D3	3	66
9	8	22	22	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	66
9	8	22	22	2.0	0	0	3/4	1	1	1/2	1/2	1		2	62	D4	4	65
9	8	22	22	2.0	0	0	3/4	1	1	1/2	1/2	1		6	66	F#4	4	65
10	8	24	24	1.0	0	1/2	3/4	1	1	1/4	1/4	1	1	2	74	D5	5	67
11	9	25	25	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	75
11	9	25	25	1.0	0	0	3/4	1	2	1/4	1/4	1		0	72	C5	5	72
11	9	25	25	0.75	0	0	3/4	1	1	3/16	1/8	3/2	-1	2	74	D5	5	68
11	9	103/4	103/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		3	81	A5	5	69
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	76
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	76
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69	A4	4	76
11	9	26	26	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		0	72	C5	5	73
11	9	26	26	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	D5	5	70
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	77
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		9	63	D#4	4	77
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69	A4	4	77
11	9	27	27	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1	1	0	72	C5	5	74
11	9	27	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1	1	9	75	D#5	5	71
12	10	28	28	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	85
12	10	28	28	3.0	0	0	3/4	1	2	3/4	1/2	3/2	-1	0	72	C5	5	84
12	10	28	28	0.5	0	0	3/4	1	1	1/8	1/8	1	-1	9	75	D#5	5	78
12	10	57/2	57/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	79
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	86
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	86
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67	G4	4	86
12	10	29	29	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78	F#5	5	80
12	10	59/2	59/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	81
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	87
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	87
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67	G4	4	87
12	10	30	30	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81	A5	5	82
12	10	61/2	61/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	83
13	11	31	31	1.0	0	0	3/4	2	1	1/4	1/4	1		8	56	G#3	3	95
13	11	31	31	1.0	0	0	3/4	1	2	1/4	1/4	1		2	74	D5	5	92
13	11	31	31	0.75	0	0	3/4	1	1	3/16	1/8	3/2		4	76	E5	5	88
13	11	127/4	127/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		5	83	B5	5	89
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	96
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	96
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	71	B4	4	96
13	11	32	32	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		2	74	D5	5	93
13	11	32	32	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	E5	5	90
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	97
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		11	65	E#4	4	97
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	71	B4	4	97
13	11	33	33	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1	1	2	74	D5	5	94
13	11	33	33	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1	1	11	77	E#5	5	91
14	12	34	34	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	105
14	12	34	34	3.0	0	0	3/4	1	2	3/4	1/2	3/2	-1	2	74	D5	5	104
14	12	34	34	0.5	0	0	3/4	1	1	1/8	1/8	1	-1	11	77	E#5	5	98
14	12	69/2	69/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	99
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	106
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66	F#4	4	106
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69	A4	4	106
14	12	35	35	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	100
14	12	71/2	71/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	101
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	107
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	107
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69	A4	4	107
14	12	36	36	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	102
14	12	73/2	73/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	103
15	13	37	37	1.0	0	0	3/4	2	1	1/4	1/4	1		3	45	A2	2	112
15	13	37	37	0.5	0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	108
15	13	37	37	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	108
15	13	75/2	75/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	109
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	113
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	113
15	13	38	38	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	110
15	13	38	38	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	110
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	114
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	114
15	13	39	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	111
15	13	39	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	111
16	14	40	40	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	122
16	14	40	40	3.0	0	0	3/4	1	2	3/4	1/2	3/2		6	66	F#4	4	121
16	14	40	40	0.5	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	115
16	14	81/2	81/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	116
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54	F#3	3	123
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	123
16	14	41	41	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		8	80	G#5	5	117
16	14	83/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	118
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54	F#3	3	124
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	124
16	14	42	42	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	119
16	14	85/2	85/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	120
17	15	43	43	1.0	0	0	3/4	2	1	1/4	1/4	1		3	45	A2	2	129
17	15	43	43	0.5	0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	125
17	15	43	43	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	125
17	15	87/2	87/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	126
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	130
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	130
17	15	44	44	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	127
17	15	44	44	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	127
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	131
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	131
17	15	45	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	128
17	15	45	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	128
18	16	46	46	2.0	0	0	3/4	2	1	1/2	1/2	1		2	50	D3	3	133
18	16	46	46	2.0	0	0	3/4	2	1	1/2	1/2	1		6	54	F#3	3	133
18	16	46	46	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	133
18	16	46	46	2.0	0	0	3/4	1	1	1/2	1/2	1		6	66	F#4	4	132
18	16	46	46	2.0	0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	132
